System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:14:24:606, 8813773091590,    0.101,   53.000, 2900,  16.220,   1.635,   0.454,  14.326,   1.444,   0.401, 71,  0,   0.912,   0.092,   0.026,   0.141,   0.014,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:24:715, 8813990884187,    0.210,   49.000, 2900,  16.626,   3.453,   0.959,  15.116,   3.097,   0.860, 69,  0,   0.584,   0.156,   0.043,   0.000,   0.014,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:24:825, 8814208774403,    0.320,   50.000, 2800,  16.079,   5.212,   1.448,  14.428,   4.675,   1.299, 68,  0,   0.574,   0.219,   0.061,   0.000,   0.014,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:24:934, 8814426662138,    0.429,   50.000, 2800,  15.619,   6.920,   1.922,  14.061,   6.213,   1.726, 67,  0,   0.603,   0.285,   0.079,   0.031,   0.018,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:25:043, 8814644519224,    0.538,   50.000, 2700,  15.791,   8.647,   2.402,  14.250,   7.772,   2.159, 68,  0,   0.636,   0.354,   0.098,   0.000,   0.018,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:25:153, 8814863202187,    0.648,   50.000, 2700,  14.684,  10.259,   2.850,  13.097,   9.209,   2.558, 66,  0,   0.565,   0.416,   0.116,   0.000,   0.018,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:25:372, 8815298925175,    0.867,   50.000, 2700,  14.644,  13.462,   3.740,  13.062,  12.066,   3.352, 66,  0,   0.574,   0.542,   0.150,   0.000,   0.018,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:25:481, 8815516842673,    0.976,   50.000, 2800,  15.083,  15.112,   4.198,  13.567,  13.551,   3.764, 68,  0,   0.567,   0.604,   0.168,   0.000,   0.018,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:25:591, 8815734702494,    1.086,   50.000, 2700,  15.684,  16.828,   4.674,  13.967,  15.078,   4.188, 68,  0,   0.650,   0.675,   0.187,   0.033,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:25:700, 8815952567340,    1.195,   49.000, 2700,  14.716,  18.437,   5.121,  13.150,  16.516,   4.588, 68,  0,   0.561,   0.736,   0.205,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:25:809, 8816170478781,    1.304,   49.000, 2700,  14.361,  20.008,   5.558,  12.823,  17.919,   4.977, 67,  0,   0.554,   0.797,   0.221,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:25:919, 8816388352797,    1.414,   50.000, 2700,  14.774,  21.624,   6.007,  13.129,  19.355,   5.376, 66,  0,   0.565,   0.859,   0.239,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:26:028, 8816606178163,    1.523,   50.000, 2800,  15.236,  23.290,   6.469,  13.722,  20.855,   5.793, 67,  0,   0.569,   0.921,   0.256,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:26:137, 8816824080134,    1.632,   50.000, 2700,  15.453,  24.981,   6.939,  13.763,  22.361,   6.211, 67,  0,   0.624,   0.989,   0.275,   0.026,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:26:247, 8817041939362,    1.742,   50.000, 2700,  14.662,  26.584,   7.384,  13.120,  23.796,   6.610, 67,  0,   0.638,   1.059,   0.294,   0.000,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:26:356, 8817259802625,    1.851,   50.000, 2700,  14.612,  28.182,   7.828,  13.096,  25.228,   7.008, 67,  0,   0.559,   1.120,   0.311,   0.000,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:26:684, 8817913438384,    2.179,   50.000, 2700,  15.090,  33.134,   9.204,  13.524,  29.666,   8.240, 67,  0,   0.584,   1.312,   0.364,   0.007,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:26:794, 8818131365053,    2.289,   50.000, 2700,  14.720,  34.744,   9.651,  13.035,  31.092,   8.637, 66,  0,   0.629,   1.380,   0.383,   0.000,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:26:903, 8818349974166,    2.398,   50.000, 2800,  14.675,  36.355,  10.099,  13.083,  32.527,   9.035, 67,  0,   0.566,   1.443,   0.401,   0.000,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:27:013, 8818567887623,    2.508,   51.000, 2700,  15.512,  38.052,  10.570,  13.981,  34.057,   9.460, 67,  0,   0.615,   1.510,   0.419,   0.000,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:27:122, 8818785749827,    2.617,   49.000, 2700,  14.742,  39.664,  11.018,  13.151,  35.495,   9.860, 68,  0,   0.556,   1.571,   0.436,   0.000,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:27:232, 8819003605259,    2.727,   50.000, 2700,  14.557,  41.256,  11.460,  12.876,  36.904,  10.251, 66,  0,   0.617,   1.638,   0.455,   0.022,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:27:341, 8819221519974,    2.836,   50.000, 2800,  15.011,  42.898,  11.916,  13.512,  38.382,  10.662, 67,  0,   0.558,   1.699,   0.472,   0.000,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:27:450, 8819439380922,    2.945,   50.000, 2700,  15.303,  44.572,  12.381,  13.764,  39.887,  11.080, 67,  0,   0.560,   1.761,   0.489,   0.000,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:27:560, 8819658014285,    3.055,   50.000, 2700,  14.712,  46.186,  12.830,  13.108,  41.326,  11.479, 67,  0,   0.561,   1.822,   0.506,   0.000,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:27:888, 8820311637129,    3.383,   50.000, 2800,  14.851,  51.059,  14.183,  13.289,  45.686,  12.691, 67,  0,   0.577,   2.012,   0.559,   0.007,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:27:998, 8820529551616,    3.493,   50.000, 2800,  15.531,  52.758,  14.655,  13.871,  47.203,  13.112, 67,  0,   0.594,   2.076,   0.577,   0.000,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:28:107, 8820747392526,    3.602,   49.000, 2700,  14.825,  54.379,  15.105,  13.311,  48.659,  13.516, 67,  0,   0.562,   2.138,   0.594,   0.000,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:28:216, 8820965268486,    3.711,   50.000, 2700,  14.599,  55.976,  15.549,  13.073,  50.089,  13.914, 66,  0,   0.566,   2.200,   0.611,   0.000,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:28:326, 8821183210242,    3.821,   50.000, 2700,  14.758,  57.591,  15.997,  13.085,  51.520,  14.311, 66,  0,   0.618,   2.267,   0.630,   0.023,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:28:654, 8821837578665,    4.149,   50.000, 2800,  14.989,  62.515,  17.365,  13.444,  55.937,  15.538, 66,  0,   0.576,   2.457,   0.682,   0.000,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:28:764, 8822055423874,    4.259,   50.000, 2800,  15.295,  64.187,  17.830,  13.631,  57.427,  15.952, 67,  0,   0.583,   2.520,   0.700,   0.000,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:28:873, 8822273337117,    4.368,   50.000, 2700,  14.760,  65.802,  18.278,  13.213,  58.873,  16.354, 66,  0,   0.624,   2.589,   0.719,   0.022,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:28:982, 8822491208185,    4.477,   50.000, 2800,  14.107,  67.345,  18.707,  12.457,  60.235,  16.732, 67,  0,   0.595,   2.654,   0.737,   0.000,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:29:092, 8822709068399,    4.587,   49.000, 2800,  14.889,  68.973,  19.159,  13.293,  61.689,  17.136, 67,  0,   0.584,   2.718,   0.755,   0.000,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:29:201, 8822926960333,    4.696,   50.000, 2800,  15.146,  70.630,  19.619,  13.627,  63.180,  17.550, 67,  0,   0.580,   2.781,   0.773,   0.000,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:29:311, 8823145611094,    4.806,   50.000, 2800,  15.214,  72.300,  20.083,  13.622,  64.675,  17.965, 66,  0,   0.577,   2.844,   0.790,   0.000,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:29:420, 8823363473952,    4.915,   50.000, 2800,  15.224,  73.965,  20.546,  13.673,  66.170,  18.381, 67,  0,   0.624,   2.913,   0.809,   0.023,   0.039,   0.011,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:29:530, 8823581395334,    5.025,   50.000, 2700,  15.236,  75.632,  21.009,  13.545,  67.652,  18.792, 66,  0,   0.700,   2.989,   0.830,   0.000,   0.039,   0.011,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:29:639, 8823799310326,    5.134,   50.000, 2700,  14.094,  77.174,  21.437,  12.551,  69.025,  19.174, 66,  0,   0.661,   3.061,   0.850,   0.000,   0.039,   0.011,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:14:29:748, 8824017102812,    5.243,   50.000, 2800,  15.432,  78.861,  21.906,  13.917,  70.547,  19.596, 68,  0,   0.562,   3.123,   0.867,   0.000,   0.039,   0.011,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
