System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:12:54:175, 8633634377205,    0.177,   39.000, 2800,  15.518,   2.746,   0.763,  13.811,   2.444,   0.679, 68,  0,   0.743,   0.131,   0.037,   0.075,   0.013,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:54:722, 8634724565172,    0.724,  113.000, 2700,  15.035,  10.974,   3.048,  13.443,   9.801,   2.723, 65,  0,   0.590,   0.454,   0.126,   0.007,   0.017,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:54:832, 8634942409009,    0.834,   50.000, 2700,  13.840,  12.488,   3.469,  12.192,  11.134,   3.093, 65,  0,   0.564,   0.516,   0.143,   0.000,   0.017,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:54:941, 8635160310583,    0.943,   50.000, 2700,  13.886,  14.007,   3.891,  12.377,  12.488,   3.469, 65,  0,   0.570,   0.578,   0.161,   0.000,   0.017,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:55:050, 8635378190158,    1.052,   50.000, 2700,  13.552,  15.489,   4.302,  12.022,  13.803,   3.834, 65,  0,   0.573,   0.641,   0.178,   0.000,   0.017,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:55:160, 8635596117503,    1.162,   51.000, 2800,  13.501,  16.966,   4.713,  11.788,  15.093,   4.192, 66,  0,   0.681,   0.715,   0.199,   0.031,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:55:269, 8635813916489,    1.271,   50.000, 2800,  15.047,  18.611,   5.170,  13.530,  16.572,   4.603, 67,  0,   0.560,   0.776,   0.216,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:55:379, 8636031794623,    1.380,   49.000, 2800,  15.282,  20.283,   5.634,  13.774,  18.079,   5.022, 67,  0,   0.552,   0.837,   0.232,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:55:488, 8636250448363,    1.490,   50.000, 2700,  14.701,  21.896,   6.082,  13.101,  19.517,   5.421, 67,  0,   0.562,   0.898,   0.250,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:55:598, 8636468330896,    1.600,   50.000, 2700,  13.883,  23.415,   6.504,  12.242,  20.856,   5.793, 65,  0,   0.555,   0.959,   0.266,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:55:707, 8636686196570,    1.709,   50.000, 2700,  14.394,  24.989,   6.941,  12.790,  22.255,   6.182, 65,  0,   0.626,   1.028,   0.285,   0.021,   0.023,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:55:816, 8636904070144,    1.818,   50.000, 2800,  14.793,  26.607,   7.391,  13.246,  23.703,   6.584, 66,  0,   0.555,   1.088,   0.302,   0.000,   0.023,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:098, 8637465163918,    2.100,   50.000, 2700,  14.597,  30.718,   8.533,  13.018,  27.370,   7.603, 65,  0,   0.563,   1.247,   0.346,   0.000,   0.023,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:208, 8637682990902,    2.209,   50.000, 2700,  14.421,  32.295,   8.971,  12.859,  28.776,   7.993, 65,  0,   0.622,   1.315,   0.365,   0.021,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:317, 8637900901964,    2.319,   49.000, 2700,  14.410,  33.872,   9.409,  12.768,  30.173,   8.381, 65,  0,   0.561,   1.376,   0.382,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:426, 8638118735562,    2.428,   50.000, 2700,  14.342,  35.440,   9.844,  12.824,  31.575,   8.771, 65,  0,   0.558,   1.437,   0.399,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:536, 8638336606468,    2.537,   49.000, 2700,  14.274,  37.001,  10.278,  12.766,  32.972,   9.159, 65,  0,   0.551,   1.497,   0.416,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:645, 8638554508700,    2.647,   49.000, 2700,  14.521,  38.590,  10.719,  12.871,  34.380,   9.550, 65,  0,   0.556,   1.558,   0.433,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:754, 8638772369208,    2.756,   50.000, 2700,  13.975,  40.118,  11.144,  12.433,  35.739,   9.928, 65,  0,   0.600,   1.624,   0.451,   0.024,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:864, 8638990248769,    2.866,   49.000, 2700,  14.181,  41.669,  11.575,  12.521,  37.109,  10.308, 65,  0,   0.558,   1.685,   0.468,   0.000,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:56:973, 8639208138470,    2.975,   50.000, 2800,  14.987,  43.308,  12.030,  13.479,  38.583,  10.718, 67,  0,   0.573,   1.747,   0.485,   0.000,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:57:083, 8639425997647,    3.084,   49.000, 2700,  14.822,  44.929,  12.480,  13.284,  40.036,  11.121, 66,  0,   0.604,   1.814,   0.504,   0.000,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:57:192, 8639643879105,    3.194,   49.000, 2700,  14.419,  46.506,  12.918,  12.778,  41.434,  11.509, 65,  0,   0.556,   1.874,   0.521,   0.000,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:57:301, 8639861746226,    3.303,   50.000, 2700,  14.277,  48.068,  13.352,  12.740,  42.827,  11.896, 65,  0,   0.603,   1.940,   0.539,   0.021,   0.030,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:57:411, 8640079623159,    3.412,   49.000, 2700,  14.312,  49.633,  13.787,  12.788,  44.226,  12.285, 65,  0,   0.557,   2.001,   0.556,   0.000,   0.030,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:57:520, 8640297522681,    3.522,   50.000, 2800,  13.427,  51.102,  14.195,  11.769,  45.513,  12.643, 68,  0,   0.603,   2.067,   0.574,   0.000,   0.030,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:57:629, 8640515388773,    3.631,   49.000, 2800,  15.397,  52.786,  14.663,  13.888,  47.032,  13.064, 67,  0,   0.557,   2.128,   0.591,   0.000,   0.030,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:12:57:739, 8640733254631,    3.741,   50.000, 2700,  14.832,  54.408,  15.113,  13.178,  48.473,  13.465, 65,  0,   0.562,   2.190,   0.608,   0.000,   0.030,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
