System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:11:24:261, 8454525518950,    0.152,   48.000, 2700,  14.166,   2.156,   0.599,  12.409,   1.888,   0.524, 65,  0,   0.848,   0.129,   0.036,   0.117,   0.018,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:24:590, 8455179864465,    0.481,   38.000, 2800,  11.878,   6.057,   1.683,  10.267,   5.261,   1.461, 63,  0,   0.651,   0.343,   0.095,   0.010,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:24:699, 8455397822216,    0.590,   37.000, 2800,  12.549,   7.430,   2.064,  10.930,   6.457,   1.794, 64,  0,   0.557,   0.404,   0.112,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:24:809, 8455615663305,    0.699,   47.000, 2800,  13.991,   8.960,   2.489,  12.445,   7.818,   2.172, 65,  0,   0.669,   0.477,   0.132,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:24:918, 8455833508768,    0.809,   50.000, 2700,  15.461,  10.651,   2.959,  13.903,   9.338,   2.594, 64,  0,   0.611,   0.544,   0.151,   0.035,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:25:027, 8456051400072,    0.918,   51.000, 2700,  14.047,  12.188,   3.385,  12.398,  10.694,   2.971, 64,  0,   0.579,   0.607,   0.169,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:25:137, 8456269257367,    1.028,   49.000, 2600,  14.255,  13.747,   3.819,  12.739,  12.087,   3.358, 63,  0,   0.547,   0.667,   0.185,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:25:246, 8456487148738,    1.137,   50.000, 2600,  14.162,  15.296,   4.249,  12.439,  13.448,   3.736, 64,  0,   0.569,   0.729,   0.203,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:25:355, 8456705024570,    1.246,   51.000, 2500,  13.488,  16.771,   4.659,  11.959,  14.756,   4.099, 62,  0,   0.588,   0.793,   0.220,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:25:465, 8456922897655,    1.356,   50.000, 2500,  12.707,  18.161,   5.045,  11.168,  15.977,   4.438, 62,  0,   0.599,   0.859,   0.239,   0.026,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:11:25:574, 8457140774651,    1.465,   50.000, 2500,  13.031,  19.586,   5.441,  11.401,  17.224,   4.785, 61,  0,   0.569,   0.921,   0.256,   0.000,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
